Car_ids,Judge_ID,Judge_Name,Car_Judged,Start_Time,End_Time,Mins_Spent,Avg_Spd
48,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
124,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
222,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
207,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
167,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
159,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
20,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
178,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
30,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
1,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
51,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
183,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
177,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
5,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
218,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
39,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
68,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
10,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
67,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
43,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
170,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
216,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
99,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
89,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
95,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
228,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
7,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
14,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
8,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
145,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
102,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
36,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
189,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
111,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
140,"J08 ","Danny ",5,"2018-08-05 15:26 ","2018-08-05 17:52 ",146,29.2
161,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
37,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
243,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
184,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
66,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
101,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
21,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
200,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
2,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
23,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
59,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
42,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
83,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
16,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
181,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
0,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
88,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
25,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
176,"J08 ","Danny ",5,"2018-08-05 15:26 ","2018-08-05 17:52 ",146,29.2
134,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
127,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
104,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
120,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
85,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
"Showcar ","J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
108,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
98,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
130,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
12,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
232,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
"Vip ","J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
96,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
15,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
65,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
92,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
179,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
63,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
35,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
79,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
4341,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
156,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
220,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
44,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
19,"J08 ","Danny ",5,"2018-08-05 15:26 ","2018-08-05 17:52 ",146,29.2
123,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
57,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
