Car_ID ,Judge_ID ,Judge_Name 
48 ,J04 ,Bob 
124 ,J02 ,Carl 
222 ,J05 ,Adrian 
207 ,J06 ,Aaron 
167 ,J02 ,Carl 
159 ,J04 ,Bob 
20 ,J06 ,Aaron 
178 ,J06 ,Aaron 
30 ,J04 ,Bob 
1 ,J09 ,Dan 
51 ,J09 ,Dan 
183 ,J01 ,Wayne 
177 ,J01 ,Wayne 
5 ,J04 ,Bob 
218 ,J02 ,Carl 
39 ,J06 ,Aaron 
68 ,J03 ,Carol 
10 ,J03 ,Carol 
67 ,J09 ,Dan 
43 ,J04 ,Bob 
170 ,J02 ,Carl 
216 ,J02 ,Carl 
99 ,J06 ,Aaron 
89 ,J06 ,Aaron 
95 ,J06 ,Aaron 
228 ,J03 ,Carol 
7 ,J03 ,Carol 
14 ,J03 ,Carol 
8 ,J03 ,Carol 
145 ,J01 ,Wayne 
102 ,J06 ,Aaron 
36 ,J09 ,Dan 
189 ,J04 ,Bob 
111 ,J01 ,Wayne 
140 ,J08 ,Danny 
161 ,J03 ,Carol 
37 ,J09 ,Dan 
243 ,J04 ,Bob 
184 ,J01 ,Wayne 
66 ,J01 ,Wayne 
101 ,J06 ,Aaron 
21 ,J09 ,Dan 
200 ,J09 ,Dan 
2 ,J01 ,Wayne 
23 ,J09 ,Dan 
59 ,J01 ,Wayne 
42 ,J02 ,Carl 
83 ,J06 ,Aaron 
16 ,J03 ,Carol 
181 ,J01 ,Wayne 
0 ,J02 ,Carl 
88 ,J06 ,Aaron 
25 ,J09 ,Dan 
176 ,J08 ,Danny 
134 ,J09 ,Dan 
127 ,J04 ,Bob 
104 ,J06 ,Aaron 
120 ,J02 ,Carl 
85 ,J06 ,Aaron 
Showcar ,J03 ,Carol 
108 ,J05 ,Adrian 
98 ,J09 ,Dan 
130 ,J06 ,Aaron 
12 ,J03 ,Carol 
232 ,J09 ,Dan 
Vip ,J01 ,Wayne 
96 ,J01 ,Wayne 
15 ,J05 ,Adrian 
65 ,J06 ,Aaron 
92 ,J04 ,Bob 
179 ,J01 ,Wayne 
63 ,J06 ,Aaron 
35 ,J06 ,Aaron 
79 ,J04 ,Bob 
4341 ,J03 ,Carol 
156 ,J01 ,Wayne 
220 ,J05 ,Adrian 
44 ,J06 ,Aaron 
19 ,J08 ,Danny 
123 ,J05 ,Adrian 
57 ,J04 ,Bob 
230 ,J04 ,Bob 
33 ,J09 ,Dan 
75 ,J09 ,Dan 
175 ,J06 ,Aaron 
115 ,J06 ,Aaron 
153 ,J09 ,Dan 
76 ,J09 ,Dan 
56 ,J01 ,Wayne 
50 ,J04 ,Bob 
163 ,J08 ,Danny 
53 ,J09 ,Dan 
241 ,J04 ,Bob 
114 ,J01 ,Wayne 
41 ,J04 ,Bob 
116 ,J05 ,Adrian 
137 ,J02 ,Carl 
212 ,J05 ,Adrian 
52 ,J04 ,Bob 
93 ,J04 ,Bob 
226 ,J06 ,Aaron 
22 ,J06 ,Aaron 
70 ,J06 ,Aaron 
128 ,J06 ,Aaron 
40 ,J09 ,Dan 
238 ,J01 ,Wayne 
31 ,J06 ,Aaron 
71 ,J04 ,Bob 
18 ,J05 ,Adrian 
38 ,J04 ,Bob 
46 ,J01 ,Wayne 
49 ,J04 ,Bob 
28 ,J01 ,Wayne 
219 ,J02 ,Carl 
185 ,J01 ,Wayne 
162 ,J03 ,Carol 
180 ,J01 ,Wayne 
103 ,J04 ,Bob 
197 ,J05 ,Adrian 
74 ,J06 ,Aaron 
150 ,J03 ,Carol 
78 ,J04 ,Bob 
141 ,J04 ,Bob 
17 ,J09 ,Dan 
187 ,J09 ,Dan 
69 ,J09 ,Dan 
100 ,J01 ,Wayne 
112 ,J04 ,Bob 
172 ,J01 ,Wayne 
91 ,J08 ,Danny 
158 ,J03 ,Carol 
182 ,J01 ,Wayne 
225 ,J04 ,Bob 
81 ,J01 ,Wayne 
6 ,J01 ,Wayne 
121 ,J04 ,Bob 
211 ,J04 ,Bob 
186 ,J01 ,Wayne 
4 ,J06 ,Aaron 
72 ,J06 ,Aaron 
45 ,J04 ,Bob 
1051 ,J04 ,Bob 
84 ,J09 ,Dan 
118 ,J06 ,Aaron 
174 ,J04 ,Bob 
138 ,J04 ,Bob 
242 ,J03 ,Carol 
3 ,J03 ,Carol 
193 ,J03 ,Carol 
94 ,J01 ,Wayne 
11 ,J03 ,Carol 
86 ,J01 ,Wayne 
9 ,J03 ,Carol 
142 ,J04 ,Bob 
126 ,J01 ,Wayne 
144 ,J01 ,Wayne 
110 ,J04 ,Bob 
34 ,J06 ,Aaron 
190 ,J05 ,Adrian 
235 ,J04 ,Bob 
24 ,J09 ,Dan 
64 ,J09 ,Dan 
122 ,J06 ,Aaron 
106 ,J04 ,Bob 
113 ,J04 ,Bob 
13 ,J06 ,Aaron 
237 ,J01 ,Wayne 
